#Switch,Port,Peer-Device,Peer-Port,Blacklist,Comment
#switch,port,peerDevice,peerPort
sw-ib-c2f14-34-01,9,bu-c2f16-27-01,,0,
sw-ib-c2f14-34-01,10,bu-c2e18-27-01,,0,
sw-ib-c2f14-34-01,11,bu-c2d38-25-01,,1,
sw-ib-c2f14-34-01,12,bu-c2d41-25-01,,0,
sw-ib-c2f14-34-01,13,bu-c2f16-39-01,,1, # missing network card
sw-ib-c2f14-34-01,14,bu-c2f16-43-01,,1, # missing network card
sw-ib-c2f14-34-01,15,,,0,
sw-ib-c2f14-34-01,16,,,0,
sw-ib-c2f14-34-01,17,,,0,
sw-ib-c2f14-34-01,18,,,0,
sw-ib-c2f14-34-01,19,sw-ib-c2f15-19-01,1,0,
sw-ib-c2f14-34-01,20,sw-ib-c2f15-19-01,3,0,
sw-ib-c2f14-34-01,21,sw-ib-c2f15-19-01,5,0,
sw-ib-c2f14-34-01,22,sw-ib-c2f15-21-01,1,0,
sw-ib-c2f14-34-01,23,sw-ib-c2f15-21-01,3,0,
sw-ib-c2f14-34-01,24,sw-ib-c2f15-21-01,5,0,
sw-ib-c2f14-34-01,25,sw-ib-c2f15-23-01,1,0,
sw-ib-c2f14-34-01,26,sw-ib-c2f15-23-01,3,0,
sw-ib-c2f14-34-01,27,sw-ib-c2f15-23-01,5,0,
sw-ib-c2f14-34-01,28,sw-ib-c2f15-25-01,1,0,
sw-ib-c2f14-34-01,29,sw-ib-c2f15-25-01,3,0,
sw-ib-c2f14-34-01,30,sw-ib-c2f15-25-01,5,0,
sw-ib-c2f14-34-01,31,sw-ib-c2f15-27-01,1,0,
sw-ib-c2f14-34-01,32,sw-ib-c2f15-27-01,3,0,
sw-ib-c2f14-34-01,33,sw-ib-c2f15-27-01,5,0,
sw-ib-c2f14-34-01,34,sw-ib-c2f15-29-01,1,0,
sw-ib-c2f14-34-01,35,sw-ib-c2f15-29-01,3,0,
sw-ib-c2f14-34-01,36,sw-ib-c2f15-29-01,5,0,
sw-ib-c2f15-29-01,1,sw-ib-c2f14-34-01,34,0,
sw-ib-c2f15-29-01,2,sw-ib-c2f14-04-01,34,0,
sw-ib-c2f15-29-01,3,sw-ib-c2f14-34-01,35,0,
sw-ib-c2f15-29-01,4,sw-ib-c2f14-04-01,35,0,
sw-ib-c2f15-29-01,5,sw-ib-c2f14-34-01,36,0,
sw-ib-c2f15-29-01,6,sw-ib-c2f14-04-01,36,0,
sw-ib-c2f15-29-01,7,sw-ib-c2f14-36-01,34,0,
sw-ib-c2f15-29-01,8,sw-ib-c2f14-06-01,34,0,
sw-ib-c2f15-29-01,9,sw-ib-c2f14-36-01,35,0,
sw-ib-c2f15-29-01,10,sw-ib-c2f14-06-01,35,0,
sw-ib-c2f15-29-01,11,sw-ib-c2f14-36-01,36,0,
sw-ib-c2f15-29-01,12,sw-ib-c2f14-06-01,36,0,
sw-ib-c2f15-29-01,13,sw-ib-c2f14-38-01,34,0,
sw-ib-c2f15-29-01,14,sw-ib-c2f14-08-01,34,0,
